Product title,Product vendor,Product type,Net items sold,Gross sales,Discounts,Returns,Net sales,Taxes,Total sales
بزنس : كن كالذئب,عادل السماك,Book,5,140,0,0,140,7,147
حياتك,حنان السماك,Book,5,140,0,0,140,7,147
أطلق مشروعك الصغير,عادل السماك,Book,5,140,0,0,140,7,147
The Witches,Roald Dahl,Book,9,156.98,-2.31,-15,139.67,6.99,146.66
مثلث الحياة,منى كاظم,Book,5,140,-0.77,0,139.23,6.96,146.19
Roald Dahl Collection,Roald Dahl,Book,1,139,0,0,139,6.95,145.95
"Find The Ladder, 55 Unconventional Interview & Death of the Resume",Nadeem Lutfullah,Book,1,139,0,0,139,6.95,145.95
A Good Girl's Guide to Murder,Holly Jackson,Book,6,139,0,0,139,6.95,145.95
Vampire Knight Box Set 2,Matsuri Hino;,Book,1,139,0,0,139,6.95,145.95
The World's Worst Pets,David Walliams,Book,5,139.99,-1.09,0,138.9,6.95,145.85
Final Offer,Lauren Asher;,Book,4,138,0,0,138,6.9,144.9
The Secret - Hardcover,Rhonda Byrne,Book,4,138,0,0,138,6.9,144.9
Big Nate Lives It Up,Lincoln Peirce;,Book,6,137,0,0,137,6.85,143.85
The World's Worst Children 3,David Walliams;,Book,5,137,0,0,137,6.85,143.85
What to Expect the First Year,Heidi Murkoff;,Book,6,137,0,0,137,6.85,143.85
Fangirl,Rainbow Rowell,Book,8,136.99,-0.43,0,136.56,6.83,143.39
Book Light,Online Book Store – Bookends,Accessories,2,204,0,-68,136,6.8,142.8
Diary of a Wimpy Kid: The Getaway  (Hardcover),Jeff Kinney,Book,6,139,-3.08,0,135.92,6.79,142.71
Unite Me,Tahereh Mafi;,Book,5,165,-1.16,-28,135.84,6.79,142.63
If We Ever Meet Again,Ana Huang;,Book,4,135.6,0,0,135.6,6.78,142.38
The World's Worst Parents,David Walliams;,Book,5,135.99,-0.85,0,135.14,6.76,141.9
The Son of Neptune,Rick Riordan,Book,6,137.98,-2.89,0,135.09,6.76,141.85
Enid Blyton Malory Towers The 12 Books Complete Collection,Enid Blyton,Book,1,135,0,0,135,6.75,141.75
Bloody Royals,CoraLee June,Book,1,135,0,0,135,6.75,141.75
What the River Knows - Hardcover,Isabel Ibañez,Book,1,135,0,0,135,6.75,141.75
A Kiss of Iron- [Hardcover],Clare Sager;,Book,1,135,0,0,135,6.75,141.75
Harry Potter Paperback Boxed Set: Books 1-7,J. K. Rowling;,Book,1,135,0,0,135,6.75,141.75
A Fate Inked in Blood (HARDCOVER - FOIL PAGE EDGES),Danielle L. Jensen;,Book,1,135,0,0,135,6.75,141.75
"One Piece (Omnibus Edition), Vol. 4-5-6",Eiichiro Oda;,Book,3,134.2,0,0,134.2,6.71,140.91
"One Piece (Omnibus Edition), Vol. 7-9",Eiichiro Oda,Book,3,134.2,0,0,134.2,6.71,140.91
Good Night Stories for Rebel Girls - Hardcover,Elena Favilli,Book,5,134,0,0,134,6.7,140.7
"The First 90 Days: Proven Strategies For Getting Up To Speed Faster And Smarter, Updated And Expanded - Hardcover",Michael D. Watkins,Book,4,133,0,0,133,6.65,139.65
